;OSEBuildingID;DataYear;BuildingType;PrimaryPropertyType;PropertyName;Address;City;State;ZipCode;TaxParcelIdentificationNumber;CouncilDistrictCode;Neighborhood;Latitude;Longitude;YearBuilt;NumberofBuildings;NumberofFloors;PropertyGFATotal;PropertyGFAParking;PropertyGFABuilding(s);ListOfAllPropertyUseTypes;LargestPropertyUseType;LargestPropertyUseTypeGFA;ENERGYSTARScore;SiteEUI(kBtu/sf);SiteEUIWN(kBtu/sf);SourceEUI(kBtu/sf);SourceEUIWN(kBtu/sf);SiteEnergyUse(kBtu);SiteEnergyUseWN(kBtu);SteamUse(kBtu);Electricity(kWh);Electricity(kBtu);NaturalGas(therms);NaturalGas(kBtu);DefaultData;ComplianceStatus;TotalGHGEmissions;GHGEmissionsIntensity
0;1;2016;NonResidential;Hotel;Mayflower park hotel;405 Olive way;Seattle;WA;98101;659000030;7;DOWNTOWN;47.6122;-122.33799;1927;1;12;88434;0;88434;Hotel;Hotel;88434;60;81.69999695;84.30000305;182.5;189;7226362.5;2.761568957;2003882;1156514.25;3946027;12764.5293;1276453;FALSE;Compliant;249.98;2.83
1;2;2016;NonResidential;Hotel;Paramount Hotel;724 Pine street;Seattle;WA;98101;659000220;7;DOWNTOWN;47.61317;-122.33393;1996;1;11;103566;15064;88502;Hotel, Parking, Restaurant;Hotel;83880;61;94.80000305;97.90000153;176.1000061;179.3999939;8387933;2.771008872;0;950425.1875;3242851;51450.81641;5145082;FALSE;Compliant;295.86;2.86
2;3;2016;NonResidential;Hotel;5673-The Westin Seattle;1900 5th Avenue;Seattle;WA;98101;659000475;7;DOWNTOWN;47.61393;-122.3381;1969;1;41;956110;196718;759392;Hotel;Hotel;756493;43;96;97.69999695;241.8999939;244.1000061;72587024;2.896945959;21566554;14515435;49526664;14938;1493800;FALSE;Compliant;2089.28;2.19
3;5;2016;NonResidential;Hotel;HOTEL MAX;620 STEWART ST;Seattle;WA;98101;659000640;7;DOWNTOWN;47.61412;-122.33664;1926;1;10;61320;0;61320;Hotel;Hotel;61320;56;110.8000031;113.3000031;216.1999969;224;6794584;2.757081082;2214446.25;811525.3125;2768924;18112.13086;1811213;FALSE;Compliant;286.43;4.67
4;8;2016;NonResidential;Hotel;WARWICK SEATTLE HOTEL (ID8);401 LENORA ST;Seattle;WA;98121;659000970;7;DOWNTOWN;47.61375;-122.34047;1980;1;18;175580;62000;113580;Hotel, Parking, Swimming Pool;Hotel;123445;75;114.8000031;118.6999969;211.3999939;215.6000061;14172606;2.803384301;0;1573448.625;5368607;88039.98438;8803998;FALSE;Compliant;505.01;2.88
6;10;2016;NonResidential;Hotel;Camlin;1619 9th Avenue;Seattle;WA;98101;660000825;7;DOWNTOWN;47.6139;-122.33283;1926;1;11;83008;0;83008;Hotel;Hotel;81352;27;70.80000305;74.5;146.6000061;154.6999969;5758795;2.74840341;0;823919.875;2811215;29475.80078;2947580;FALSE;Compliant;176.14;2.12
8;12;2016;NonResidential;Hotel;311wh-Pioneer Square;612 2nd Ave;Seattle;WA;98104;939000080;7;DOWNTOWN;47.60294;-122.33263;1904;1;15;163984;0;163984;Hotel;Hotel;163984;43;83.69999695;86.59999847;180.8999939;187.1999969;13723820;2.801439367;0;2138897.75;7297919;64259;6425900;FALSE;Compliant;392.16;2.39
9;13;2016;Multifamily MR (5-9);Mid-Rise Multifamily;Lyon Building;607 - 3rd Ave.;Seattle;WA;98104;939000105;7;DOWNTOWN;47.60284;-122.33184;1910;1;6;63712;1496;62216;Multifamily Housing;Multifamily Housing;56132;1;81.5;85.59999847;182.6999969;187.3999939;4573777;2.733440138;1039735.188;742091.1875;2532015;10020.25977;1002026;FALSE;Compliant;151.12;2.37
10;15;2016;NonResidential;Hotel;Hotel Monaco Seattle;1101 4th Avenue;Seattle;WA;98101;942000145;7;DOWNTOWN;47.60695;-122.33414;1969;1;11;153163;19279;133884;Hotel;Hotel;133884;30;119.5999985;124.3000031;228.1999969;233;16016644;2.811072167;5237165.5;1813489.875;6187627;45918.5;4591850;FALSE;Compliant;691.26;4.51
11;16;2016;NonResidential;Hotel;5679-W Seattle;1112 Fourth Avenue;Seattle;WA;98101;942000165;7;DOWNTOWN;47.60713;-122.33323;1998;1;25;333176;61161;272015;Hotel;Hotel;336640;36;80;80.40000153;199;199.3999939;26941110;2.839893387;5999360.5;5299838.5;18083049;28586.99805;2858700;FALSE;Compliant;740.97;2.22
12;17;2016;NonResidential;Hotel;Executive Pacific Plaza;400 Spring Street;Seattle;WA;98104;942000210;7;DOWNTOWN;47.60699;-122.33346;1928;1;9;65009;0;65009;Hotel;Hotel;65009;48;101.5;97.80000305;153.6000061;149.8000031;6596057.5;2.751450474;1656352.5;393610.6875;1343000;35967.05078;3596705;FALSE;Compliant;328.23;5.05
13;18;2016;NonResidential;Hotel;Crowne Plaza Hotel Seattle;1113 6th Ave;Seattle;WA;98101;942000235;7;DOWNTOWN;47.60809;-122.33212;1980;1;33;315952;57600;258352;Hotel, Parking;Hotel;295511;58;75.5;76.19999695;179.8999939;180.6999969;22325364;2.829095114;4337738.5;4075083;13904183;40834.39844;4083440;FALSE;Compliant;648.62;2.05
14;19;2016;NonResidential;Hotel;Hotel Vintage Seattle;1100 5th Avenue;Seattle;WA;98101;942000265;7;DOWNTOWN;47.60755;-122.33244;1922;1;11;92190;25200;66990;Hotel, Parking;Hotel;67390;35;159.5;165.8999939;297.3999939;303.8999939;10750010;2.786834624;4870847.5;1123203.125;3832369;20467.93359;2046793;FALSE;Compliant;511.39;5.55
17;23;2016;NonResidential;Hotel;Renaissance Seattle Hotel;515 Madison Street;Seattle;WA;98104;942000430;7;DOWNTOWN;47.60681;-122.33078;1983;1;28;416281;85000;331281;Hotel, Parking;Hotel;348329;31;96.30000305;98.59999847;228.5;232.8000031;33556756;2.853717482;0;6220773;21225277;123314.75;12331475;FALSE;Compliant;802.89;1.93
19;25;2016;NonResidential;Hotel;Arctic Club Seattle;700 3rd Ave;Seattle;WA;98104;942000610;7;DOWNTOWN;47.60376;-122.33194;1916;1;10;104352;0;104352;Hotel;Hotel;104352;39;97.30000305;97.30000305;225.5;225.5;10154608;2.780894022;3430862;1731644.125;5908370;8153.759766;815376;FALSE;Compliant;349.32;3.35
20;26;2016;NonResidential;Other;King County Courthouse;516 3RD AVE;Seattle;WA;98104;942000860;7;DOWNTOWN;47.60265;-122.33051;1916;1;10;540360;0;540360;Courthouse;Courthouse;537150;76;83.69999695;87.5;182.6999969;186.6999969;44984468;2.871650338;0;7138872.5;24357833;206266.3125;20626631;FALSE;Compliant;1265.29;2.34
22;28;2016;SPS-District K-12;K-12 School;Graham Hill Elementary;5149 S. Graham St.;Seattle;WA;98118;1102000138;2;SOUTHEAST;47.54576;-122.26853;1961;1;2;56228;0;56228;K-12 School;K-12 School;58916;95;26.10000038;29.10000038;60.70000076;64.59999847;1539478.5;2.664037057;0;274605.9063;936955;6025.229004;602523;TRUE;Error - Correct Default Data;38.53;0.69
23;29;2016;NonResidential;Hotel;WATERTOWN HOTEL;4242 ROOSEVELT WAY NE;Seattle;WA;98105;1142000755;4;NORTHEAST;47.65959;-122.31755;2001;1;6;88592;30586;58006;Hotel, Parking;Hotel;58006;84;63.20000076;63.29999924;148;148.5;3663534.5;2.715791504;0;664194.375;2266231;13973.03027;1397303;FALSE;Compliant;90.01;1.02
27;33;2016;NonResidential;Hotel;Marriott Springhill Suites (33);1800 Yale Ave;Seattle;WA;98101;660002680;7;DOWNTOWN;47.61784;-122.32966;2001;1;10;171866;38281;133585;Hotel;Hotel;128909;57;85.80000305;86.69999695;181.1000061;180.6000061;11061916;2.786791639;0;1644403.75;5610706;54512.09766;5451210;FALSE;Compliant;328.63;1.91
29;35;2016;NonResidential;Hotel;Hotel Five;2200 5th ave;Seattle;WA;98121;697000170;7;DOWNTOWN;47.61558;-122.34186;1978;1;5;68410;16200;52210;Hotel;Hotel;47994;57;92.90000153;95;199.6999969;206.3000031;4456714.5;2.729967505;0;687675.625;2346349;21103.65039;2110365;FALSE;Compliant;128.44;1.88
30;36;2016;SPS-District K-12;K-12 School;Jane Addams Middle;11051 34th Ave. N.E.;Seattle;WA;98125;752000170;5;NORTH;47.70994;-122.29301;1949;1;2;160645;0;160645;K-12 School;K-12 School;164229;75;41.29999924;47.5;68.09999847;75.69999695;6779173;2.764410314;0;570809.1875;1947601;48315.71875;4831572;TRUE;Error - Correct Default Data;270.18;1.68
33;40;2016;NonResidential;Hotel;Silver Cloud University;5036 25th Ave NE;Seattle;WA;98105;925049117;4;NORTHEAST;47.66583;-122.29965;1994;1;4;81871;0;81871;Hotel;Hotel;81871;29;81.5;82.19999695;162.5;164.8999939;6668568.5;2.755078567;0;884056;3016399;36521.69141;3652169;FALSE;Compliant;215;2.63
35;43;2016;Campus;Mixed Use Property;Plant 2 Site;7755 E MARGINAL WAY S;Seattle;WA;98108;22000005;2;GREATER DUWAMISH;47.53493;-122.31788;1992;1;3;494835;0;494835;Energy/Power Station, Laboratory, Manufacturing/Industrial Plant, Non-Refrigerated Warehouse, Office;Office;757027;8;221.6999969;233.1000061;388.2000122;400.2999878;448385312;2.994314825;0;44102076;150476283;2979090;297909000;FALSE;Compliant;16870.98;34.09
37;50;2016;SPS-District K-12;K-12 School;Lawton Elementary;4000 27th Ave. W.;Seattle;WA;98199;369000400;7;MAGNOLIA / QUEEN ANNE;47.65671;-122.39047;1990;1;2;54986;0;54986;K-12 School;K-12 School;54986;97;30;32.79999924;77.80000305;83.19999695;1650279.25;2.667552409;0;356855;1217589;4326.897461;432690;FALSE;Compliant;31.47;0.57
38;51;2016;SPS-District K-12;K-12 School;Eckstein Middle;3003 N.E. 75th St.;Seattle;WA;98115;425049022;4;NORTHEAST;47.68252;-122.29498;1950;1;2;175565;0;175565;K-12 School;K-12 School;182861;88;35;40.09999847;55;60.40000153;6399127.5;2.760482055;0;468840.5;1599684;47994.43359;4799443;TRUE;Error - Correct Default Data;266.05;1.52
39;52;2016;NonResidential;Small- and Mid-Sized Office;SBC52;5305 Shilshole Ave NW;Seattle;WA;98107;467000429;6;BALLARD;47.66587;-122.38476;1961;1;2;94900;0;94900;Non-Refrigerated Warehouse, Office;Office;55586;57;65.19999695;68.90000153;163;165.8999939;6186461.5;2.753207802;0;1257791.75;4291585;18948.75977;1894876;FALSE;Compliant;130.56;1.38
40;53;2016;NonResidential;Small- and Mid-Sized Office;El Centro de la Raza;2524 16th Ave S;Seattle;WA;98144;570000340;2;GREATER DUWAMISH;47.58034;-122.31132;1900;1;2;52554;0;52554;Office, Other - Education;Office;51029;83;50.09999847;53.5;108.6999969;112.3000031;2951331.25;2.705588155;0;462998;1579749;13715.82031;1371582;FALSE;Compliant;83.86;1.6
41;54;2016;NonResidential;K-12 School;Blanchet High School;8200 Wallingford Ave. N;Seattle;WA;98103;625049002;6;NORTHWEST;47.68891;-122.33553;1954;1;3;175015;0;175015;K-12 School;K-12 School;175015;95;40;45.09999847;74;80.40000153;6994740.5;2.765102249;0;785386.6875;2679739;43150.00781;4315001;FALSE;Compliant;247.85;1.42
43;56;2016;NonResidential;Hotel;Seattle Hilton Hotel;1301 Sixth Ave;Seattle;WA;98101;1975700040;7;DOWNTOWN;47.60946;-122.33337;1969;1;24;332210;205970;126240;Hotel;Hotel;348630;67;46.40000153;46.40000153;121.8000031;121.8000031;16163194;2.809297102;0;3576906.75;12204406;39587.86719;3958787;FALSE;Compliant;295.33;0.89
44;57;2016;NonResidential;Large Office;5th and Pine;413 Pine Street;Seattle;WA;98101;1975700200;7;DOWNTOWN;47.6113;-122.33659;1973;1;5;168115;0;168115;Data Center, Office, Retail Store;Office;103362;78;56.29999924;56.29999924;176.6000061;176.6000061;9536161;2.776991612;0;2794888.75;9536160;0;0;FALSE;Compliant;66.48;0.4
46;59;2016;NonResidential;Small- and Mid-Sized Office;Gibraltar Tower;1520 3rd Ave;Seattle;WA;98101;1975700380;7;DOWNTOWN;47.61048;-122.33794;1910;1;8;59400;0;59400;Office, Retail Store;Office;34947;14;85.40000153;88.30000305;398.7000122;412.2000122;5071974;2.73905166;0;1486510.375;5071973;0;0;FALSE;Compliant;35.36;0.6
48;62;2016;NonResidential;Hotel;Roosevelt Hotel;1531 7th Ave;Seattle;WA;98101;1976700010;7;DOWNTOWN;47.61233;-122.33432;1930;1;20;98634;10043;88591;Hotel, Parking, Restaurant;Hotel;83591;71;54.59999847;57.29999924;158.6000061;167;4841347.5;2.736999674;0;1257344.25;4290059;5512.879883;551288;FALSE;Compliant;59.19;0.6
49;63;2016;NonResidential;Hotel;Sheraton Seattle Hotel;1400 6th Avenue;Seattle;WA;98101;1976700095;7;DOWNTOWN;47.61087;-122.33339;1982;1;34;994212;146694;847518;Hotel, Parking, Swimming Pool;Hotel;994212;63;80.90000153;82.80000305;182.5;184.5;80469216;2.9028547;11598686;13348631;45545529;233249.9219;23324992;FALSE;Compliant;2451.58;2.47
50;65;2016;NonResidential;Hotel;Inn at the Market;86 Pine St;Seattle;WA;98101;1977200050;7;DOWNTOWN;47.60997;-122.34138;1985;1;7;71150;0;71150;Hotel, Parking, Restaurant, Retail Store;Hotel;41340;98;93.09999847;93.09999847;215.8999939;215.8999939;5348309;2.740342545;0;950732.8125;3243900;21044.08008;2104408;FALSE;Compliant;134.38;1.89
51;66;2016;NonResidential;Hotel;Moore Hotel INC;1926 2nd Ave;Seattle;WA;98101;1977201035;7;DOWNTOWN;47.61155;-122.34114;1908;1;7;122810;0;122810;Hotel, Other - Entertainment/Public Assembly, Retail Store;Hotel;88360;99;44;49.59999847;68.19999695;74.09999847;5401277.5;2.748673696;0;379121.0938;1293561;41077.16016;4107716;FALSE;Compliant;227.18;1.85
52;67;2016;NonResidential;Hotel;QUALITY INN;618 JOHN ST;Seattle;WA;98109;1991200730;7;LAKE UNION;47.61986;-122.34413;1959;1;5;113173;42546;70627;Hotel, Parking;Hotel;70627;86;74.80000305;76.90000153;165.6999969;172.1000061;5284343.5;2.741301571;0;863036.3125;2944680;23396.62891;2339663;FALSE;Compliant;144.79;1.28
53;68;2016;NonResidential;Hotel;Rainier Hospitality;211 Dexter Ave N;Seattle;WA;98109;1991200935;7;LAKE UNION;47.62001;-122.34274;2000;1;7;150453;34735;115718;Hotel;Hotel;107547;84;60.70000076;61.79999924;128;129.8000031;6715187;2.756053108;0;995342.5;3396109;33190.77734;3319078;FALSE;Compliant;199.95;1.33
54;69;2016;NonResidential;Hotel;Sequim Lodging Corp;226 Aurora Ave N;Seattle;WA;98109;1991200940;7;LAKE UNION;47.62025;-122.34314;1997;1;6;116300;28200;88100;Hotel;Hotel;88490;80;65.90000153;67.09999847;144.5;147.1000061;5827595.5;2.747113469;0;934483.3125;3188457;26391.38086;2639138;FALSE;Compliant;162.39;1.4
55;70;2016;NonResidential;Hotel;Homewood Suites by Hilton Seattle Downtonw;206 Western Ave West;Seattle;WA;98119;1992200235;7;MAGNOLIA / QUEEN ANNE;47.62023;-122.35951;1998;1;6;155602;36744;118858;Hotel;Hotel;155602;81;43.90000153;44;107.4000015;107.5999985;6836900;2.756188336;0;1336148.125;4558937;22779.61914;2277962;FALSE;Compliant;152.76;0.98
56;73;2016;NonResidential;K-12 School;Seattle Hebrew Academy;1617 Interlaken Drive East;Seattle;WA;98136;2125049015;3;EAST;47.63442;-122.30793;1911;1;3;56072;0;56072;K-12 School;K-12 School;56072;76;57.70000076;67.80000305;81.09999847;92.69999695;3234787.75;2.718048934;0;161743.0938;551867;26829.20117;2682920;FALSE;Compliant;146.34;2.61
57;77;2016;NonResidential;Hotel;Comfort Suites Seattle Center;601 Roy St;Seattle;WA;98109;2249000170;7;MAGNOLIA / QUEEN ANNE;47.62519;-122.34456;1999;1;4;122942;44891;78051;Hotel, Parking;Hotel;78051;94;68.40000153;69;136.6999969;138.6999969;5337334;2.740814061;0;710354.5;2423730;29136.03906;2913604;FALSE;Compliant;171.64;1.4
58;82;2016;NonResidential;Small- and Mid-Sized Office;Dept of Social & Health Services;1700 E. Cherry St;Seattle;WA;98122;2254501944;3;CENTRAL;47.60823;-122.30956;1962;1;2;54984;0;54984;Office;Office;54984;71;61.40000153;66;139.6000061;144.5;3375211;2.7150115;0;579786;1978230;13969.80957;1396981;FALSE;Compliant;87.98;1.6
59;84;2016;NonResidential;Senior Care Community;PSSA - The Mount;4831 35th Ave SW;Seattle;WA;98126;2324039001;1;SOUTHWEST;47.55837;-122.37751;1922;1;5;217603;0;217603;Parking, Senior Care Community;Senior Care Community;296313;54;144.3999939;153.6999969;235;244.8000031;42792072;2.869843649;0;3465642.5;11824772;309673;30967300;FALSE;Compliant;1727.11;7.94
60;85;2016;NonResidential;Senior Care Community;Foss Home and Village;13023 Greenwood Ave. N;Seattle;WA;98133;2426039059;5;NORTHWEST;47.72426;-122.35599;1970;1;2;93397;0;93397;Senior Care Community;Senior Care Community;93397;1;175.6000061;181.6000061;311.5;320;16402563;2.812191194;0;1664565.75;5679498;107230.6406;10723064;FALSE;Compliant;609.1;6.52
61;86;2016;NonResidential;Hotel;SCCA - ALLIANCE HOUSE;207 Pontius Ave N;Seattle;WA;98109;2467400430;7;LAKE UNION;47.61988;-122.33211;2008;1;6;84103;20732;63371;Hotel, Parking;Hotel;63371;74;58.5;59.79999924;154.1999969;156.6999969;3706100.25;2.717816783;0;824351.625;2812688;8934.120117;893412;FALSE;Compliant;67.06;0.8
63;89;2016;NonResidential;Medical Office;Polyclinic North && South;1200 Harvard Ave;Seattle;WA;98122;1978201270;3;EAST;47.61244;-122.3214;1965;0;3;179014;0;179014;Medical Office;Medical Office;179014;48;93.30000305;92.30000305;213.3999939;210.3000031;16701055;2.81063982;0;2897562.75;9886484;68145.70313;6814570;FALSE;Compliant;430.84;2.41
64;95;2016;NonResidential;Hotel;Sorrento Hotel;900 Madison St.;Seattle;WA;98104;1979200270;3;EAST;47.60898;-122.32693;1908;1;7;76631;0;76631;Hotel;Hotel;76631;71;94.69999695;94.59999847;172;171.6999969;7258758.5;2.759795536;0;779819;2660742;45980.16016;4598016;FALSE;Compliant;262.75;3.43
66;98;2016;NonResidential;Retail Store;Firestone Store#012432;400 Westlake Ave N;Seattle;WA;98109;1983200230;7;LAKE UNION;47.62237;-122.33805;1929;1;2;58320;0;58320;Retail Store;Retail Store;72072;96;14.60000038;17.20000076;25.79999924;28.79999924;1049748.625;2.641416024;0;106038.5;361803;6879.452148;687945;FALSE;Compliant;39.06;0.67
67;100;2016;NonResidential;Large Office;City Place III - SEDO;551 Boren Ave. North;Seattle;WA;98109;1983200325;7;LAKE UNION;47.62424;-122.33646;2010;1;5;316306;0;316306;Office, Other, Parking, Retail Store;Office;261826;96;48;48.40000153;144;144.3999939;13795954;2.800207907;0;3772301;12871091;9248.610352;924861;FALSE;Compliant;138.85;0.44
68;102;2016;NonResidential;Hotel;Residence Inn Seattle - Lake Union;800 Fairview Ave. N;Seattle;WA;98109;1984200065;3;LAKE UNION;47.62642;-122.33325;1990;1;7;282863;44766;238097;Hotel, Parking;Hotel;235788;37;82.5;85.59999847;184;189.1999969;19459304;2.822623712;0;3218245;10980652;84786.50781;8478651;FALSE;Compliant;526.85;1.86
72;107;2016;NonResidential;Large Office;City Place IV - SEDO;333 Boren Ave. N.;Seattle;WA;98109;1986200410;7;LAKE UNION;47.62112;-122.33629;2010;1;12;571329;0;571329;Office, Other, Parking;Office;598801;91;63.40000153;64.19999695;174.1999969;176.3999939;39605888;2.862670398;0;9439097;32206199;73996.85156;7399685;FALSE;Compliant;617.52;1.08
77;114;2016;NonResidential;Large Office;Bill and Melinda Gates Foundation;500 5th Ave N;Seattle;WA;98109;1988201155;7;MAGNOLIA / QUEEN ANNE;47.62419;-122.34443;2010;1;6;920598;303707;616891;Office, Other, Parking;Office;729584;93;49.79999924;51.79999924;130.8000031;131.6000061;36667044;2.859675346;0;8088294.5;27597261;90697.79688;9069780;FALSE;Compliant;674.09;0.73
78;115;2016;NonResidential;Small- and Mid-Sized Office;J.G. Scripps Building;221 1st Ave. W;Seattle;WA;98033;1989200850;7;MAGNOLIA / QUEEN ANNE;47.62053;-122.35842;1970;1;4;76213;25930;50283;Office, Other, Parking;Office;48546;68;68.19999695;71.59999847;192.3999939;196;3476212.5;2.715324365;0;863039.875;2944692;5315.200195;531520;FALSE;Compliant;48.76;0.64
79;116;2016;NonResidential;Hotel;MEDITERRANEAN INN (ID#116);425 queen anne ave N.;Seattle;WA;98109;1989201125;7;MAGNOLIA / QUEEN ANNE;47.62291;-122.35708;2002;1;6;96910;36934;59976;Hotel, Parking;Hotel;59976;56;86;87.90000153;182.1999969;188.3999939;5155568.5;2.739445427;0;772863.625;2637011;25185.58008;2518558;FALSE;Compliant;152.14;1.57
80;117;2016;NonResidential;Hotel;UNIVERSITY INN;4140 ROOSEVELT WAY NE;Seattle;WA;98105;1142001871;4;NORTHEAST;47.65772;-122.31756;1962;2;4;50017;0;50017;Hotel, Swimming Pool;Hotel;50017;53;108.9000015;110.5;203.3000031;205.8000031;5448975;2.742480075;0;623770.6875;2128306;33206.69141;3320669;FALSE;Compliant;191.2;3.82
82;119;2016;NonResidential;K-12 School;St. Joseph K-8 School;700 18th Ave. E.;Seattle;WA;98112;1336800825;3;EAST;47.62548;-122.30828;1923;1;3;67743;0;67743;K-12 School;K-12 School;67743;34;39.09999847;44.79999924;82.30000305;89.30000305;2646879;2.703118342;0;392082.5938;1337786;13090.93066;1309093;FALSE;Compliant;78.85;1.16
83;120;2016;NonResidential;K-12 School;Holy Names Academy;728 21st Ave East;Seattle;WA;98112;1338800660;3;EAST;47.62644;-122.30429;1908;1;6;194104;0;194104;K-12 School;K-12 School;194104;100;32;37.09999847;54;60.09999847;6219841.5;2.75938684;0;553309.6875;1887893;43319.48828;4331949;FALSE;Compliant;243.23;1.25
84;121;2016;NonResidential;Small- and Mid-Sized Office;2100 Building;2100 24th Ave S;Seattle;WA;98144;1498303116;3;SOUTHEAST;47.58408;-122.30125;2003;1;3;99433;35752;63681;Office, Parking;Office;63681;63;76.90000153;78.19999695;241.5;245.6000061;4897760;2.735735958;0;1435451.25;4897760;0;0;FALSE;Compliant;34.14;0.34
86;125;2016;SPS-District K-12;K-12 School;Mercer International Middle;1600 Columbian Way S.;Seattle;WA;98108;1624049214;2;GREATER DUWAMISH;47.56413;-122.31208;1957;1;1;130862;0;130862;K-12 School;K-12 School;134446;61;48;54.29999924;85.59999847;93.5;6456026;2.760232624;0;663194.5;2262820;41932.06641;4193207;TRUE;Error - Correct Default Data;238.48;1.82
87;127;2016;SPS-District K-12;K-12 School;Orca K-8 School;5215 46th Ave. S.;Seattle;WA;98118;1704900242;2;SOUTHEAST;47.55478;-122.27596;1989;1;3;59955;0;59955;K-12 School;K-12 School;59955;93;27.20000076;29.20000076;78.69999695;83;1633399.375;2.665466424;0;420989.4063;1436416;1969.83252;196983;TRUE;Error - Correct Default Data;20.48;0.34
88;130;2016;SPS-District K-12;K-12 School;McClure Middle;1915 1st Ave. W.;Seattle;WA;98119;1794501220;7;MAGNOLIA / QUEEN ANNE;47.63683;-122.35896;1964;1;2;93218;0;93218;K-12 School;K-12 School;93218;86;31;34.5;65.90000153;70.80000305;2887392;2.70696275;0;435743.8125;1486758;14006.33984;1400634;TRUE;Error - Correct Default Data;84.75;0.91
91;136;2016;NonResidential;Hotel;Holiday Inn Express North Seattle Shoreline;14115 Aurora Ave N;Seattle;WA;98133;1926049012;5;NORTHWEST;47.73141;-122.3458;2001;1;4;51390;0;51390;Hotel, Parking;Hotel;51390;89;70.30000305;70.40000153;130.6999969;130.8999939;3611538;2.714756873;0;409815;1398289;22132.49023;2213249;FALSE;Compliant;127.29;2.48
92;137;2016;SPS-District K-12;K-12 School;Broadview-Thomson K-8;13052 Greenwood Ave. N.;Seattle;WA;98133;1926049025;5;NORTHWEST;47.72463;-122.35315;1963;1;2;131013;0;131013;K-12 School;K-12 School;131909;88;29.5;32.5;59.09999847;62.90000153;3894584.5;2.726020503;0;520365.6875;1775488;21190.9668;2119097;TRUE;Error - Correct Default Data;124.92;0.95
93;138;2016;SPS-District K-12;K-12 School;Ingraham High;1819 N. 135th St.;Seattle;WA;98133;1926049321;5;NORTHWEST;47.7257;-122.33684;1959;1;1;245587;0;245587;K-12 School;K-12 School;245587;92;47.90000153;52.40000153;83.69999695;89.09999847;11765682;2.795479759;0;1150648.125;3926011;78396.69531;7839670;FALSE;Compliant;443.73;1.81
94;139;2016;NonResidential;Hotel;7066-Seattle-Northgate;13300 Stone Avenue N;Seattle;WA;98133;1926049434;5;NORTHWEST;47.72551;-122.3423;2002;1;3;69138;0;69138;Hotel;Hotel;70609;78;45.90000153;47.09999847;101.5999985;104.6999969;3242458;2.709149534;0;528396.6875;1802889;14395.68164;1439568;FALSE;Compliant;89.02;1.29
96;144;2016;NonResidential;Hotel;Alexis Hotel;1007 First Ave.;Seattle;WA;98104;1974600035;7;DOWNTOWN;47.6048;-122.3368;1904;1;5;190980;0;190980;Hotel, Parking;Hotel;190980;98;34.09999847;34.09999847;84;84;6505995;2.752911044;0;1290419.25;4402910;21030.83984;2103084;FALSE;Compliant;142.39;0.75
98;147;2016;NonResidential;Hospital;Swedish Ballard;5300 Tallman Ave NW;Seattle;WA;98107;2767703875;6;BALLARD;47.66737;-122.37956;1954;4;5;285333;0;285333;Hospital (General Medical & Surgical), Parking;Hospital (General Medical & Surgical);302661;14;225;157.3000031;479.5;251.8000031;68090728;2.872343581;0;10327434;35237205;328535.125;32853512;FALSE;Compliant;1990.5;6.98
99;148;2016;SPS-District K-12;K-12 School;West Woodland Elementary;5601 4th Ave. N.W.;Seattle;WA;98107;2768000375;6;Ballard;47.6706;-122.36225;1991;1;2;55513;0;55513;K-12 School;K-12 School;59097;93;25.60000038;27.10000038;80.40000153;85;1513570.75;2.659195812;0;443602.1875;1513571;0;0;TRUE;Error - Correct Default Data;10.55;0.19
102;168;2016;NonResidential;Hotel;Hampton Inn Seattle Center;700 5th Ave N.;Seattle;WA;98109;5458300285;7;MAGNOLIA / QUEEN ANNE;47.62614;-122.3467;1996;1;4;162222;14200;148022;Hotel, Parking;Hotel;113702;76;69.90000153;70.5;150.5;151.1999969;7946961;2.766131362;0;1230205.625;4197462;37494.98828;3749499;FALSE;Compliant;228.4;1.41
103;169;2016;SPS-District K-12;K-12 School;Franklin High;3013 S. Mt. Baker Blvd.;Seattle;WA;98144;5700000455;2;SOUTHEAST;47.57589;-122.29365;1990;1;4;289588;0;289588;K-12 School;K-12 School;289588;90;30.5;33;78.5;82.30000305;8819852;2.7770336;0;1890317.75;6449764;23700.86328;2370086;TRUE;Error - Correct Default Data;170.84;0.59
108;175;2016;SPS-District K-12;K-12 School;Garfield High;400 23rd Ave.;Seattle;WA;98122;6840701230;3;CENTRAL;47.60598;-122.30156;2008;1;3;254523;0;254523;K-12 School;K-12 School;254523;60;53.29999924;58.20000076;120.3000031;126.3000031;13567774;2.804016161;0;2296326.25;7835065;57327.08203;5732708;TRUE;Error - Correct Default Data;359.09;1.41
109;176;2016;SPS-District K-12;K-12 School;Emerson Elementary;9709 60th Ave. S.;Seattle;WA;98118;7129302300;2;SOUTHEAST;47.51482;-122.25864;2001;1;3;78804;0;78804;K-12 School;K-12 School;78804;92;31.70000076;34;76.90000153;79.30000305;2499140;2.694656855;0;482184.6875;1645214;8539.256836;853926;TRUE;Error - Correct Default Data;56.82;0.72
110;177;2016;SPS-District K-12;K-12 School;Madrona K-8;1121 33rd Ave.;Seattle;WA;98122;7152200350;3;CENTRAL;47.61224;-122.29087;2002;1;3;66994;0;66994;K-12 School;K-12 School;66994;79;35.40000153;38.5;94.09999847;99.59999847;2371304.5;2.692138448;0;534831.5;1824845;5464.591797;546459;TRUE;Error - Correct Default Data;41.74;0.62
